Timestamp,C1,S1,S2,S3,S4,S5,S6,S7,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10a,Q11_fit,Q11_return,Q11_price,Q11_occasion,Q11_social,Q12,D1,D2,D3,D4,Q13
8/11/2026 9:09:52,"Yes, continue",Yes,Woman,33–40,Bengaluru,15–40,Yes,A few times a month,I meant to buy it soon,Yes,"I’m worried about returns, exchange-only, or a seal tag","Whether I can return or exchange it, Whether the next size exists, Fit on my body / height","Return / seal-tag / exchange-only written as a sentence on the card, A kept-vs-returned story from people my size and height, on the wishlist card","Return policy in words, not an icon, Whether Try and Buy exists on this SKU, How this sat on someone near my height",Yes — but I may buy none,"WhatsApp / send photos to friends or family, YouTube haul / try-on, Visit a store to touch fabric or try a similar cut","Only buy brands I have kept before, Read 50+ reviews on the product page, Order two sizes, Wait for a sale so a failed return hurts less",Yes,4,5,3,2,2,A shopping list I intend to buy from,"Under 5'2""",M,No — ethnic runs different,Mix of workwear and occasion,
8/11/2026 11:11:18,"Yes, continue",Yes,Woman,24–32,Hyderabad,15–40,Yes,About weekly,I meant to buy it soon,Yes,"I’m worried about returns, exchange-only, or a seal tag","Whether I can return or exchange it, Whether the next size exists, Fit on my body / height","Return / seal-tag / exchange-only written as a sentence on the card, A kept-vs-returned story from people my size and height, on the wishlist card","Return policy in words, not an icon, Whether Try and Buy exists on this SKU, How this sat on someone near my height",Yes — I will buy one of them,"WhatsApp / send photos to friends or family, YouTube haul / try-on, Visit a store to touch fabric or try a similar cut","Only buy brands I have kept before, Read 50+ reviews on the product page, Ask a friend their size in that brand, Wait for a sale so a failed return hurts less",Yes,4,5,3,2,4,A shopping list I intend to buy from,"5'2""–5'5""",S,No — ethnic runs different,Mostly occasion / ethnic,I have the money. I don’t have another Sunday for a reverse pickup.
8/11/2026 13:32:40,"Yes, continue",Yes,Woman,24–32,Noida,41–80,Yes,Most days,I meant to buy it soon,Yes,I don’t know if it will fit me / this brand’s cut,"Fit on my body / height, Which size to pick","A kept-vs-returned story from people my size and height, on the wishlist card, A suggested size that stays with the saved item (not only on the product page), Return / seal-tag / exchange-only written as a sentence on the card","How this sat on someone near my height, Whether people who wear my usual size kept it, Length / crop / rise for my height",Yes — I will buy one of them,"WhatsApp / send photos to friends or family, YouTube haul / try-on","Only buy brands I have kept before, Read 50+ reviews on the product page, Ask a friend their size in that brand",Yes,5,3,2,2,2,A shopping list I intend to buy from,"5'2""–5'5""",M,No — ethnic runs different,Mix of workwear and occasion,
8/11/2026 15:59:49,"Yes, continue",Yes,Woman,24–32,Delhi,15–40,Yes,About weekly,I meant to buy it soon,Yes,"I’m worried about returns, exchange-only, or a seal tag","Whether I can return or exchange it, Whether the next size exists, Fit on my body / height","Return / seal-tag / exchange-only written as a sentence on the card, A kept-vs-returned story from people my size and height, on the wishlist card","Return policy in words, not an icon, Whether Try and Buy exists on this SKU, How this sat on someone near my height",No,"WhatsApp / send photos to friends or family, YouTube haul / try-on","Only buy brands I have kept before, Read 50+ reviews on the product page, Ask a friend their size in that brand, Wait for a sale so a failed return hurts less",No,4,5,3,2,4,A shopping list I intend to buy from,"Under 5'2""",L,No — ethnic runs different,Mostly workwear,Exchange-only should scream before I get attached. I found it too late.
8/12/2026 2:49:21,"Yes, continue",Yes,Woman,24–32,Coimbatore,15–40,Yes,Most days,I meant to buy it soon,Yes,"I’m worried about returns, exchange-only, or a seal tag","Whether I can return or exchange it, Whether the next size exists, Fit on my body / height","Return / seal-tag / exchange-only written as a sentence on the card, A kept-vs-returned story from people my size and height, on the wishlist card, A coupon or sale","Return policy in words, not an icon, Whether Try and Buy exists on this SKU, How this sat on someone near my height",No,"WhatsApp / send photos to friends or family, YouTube haul / try-on, Visit a store to touch fabric or try a similar cut","Only buy brands I have kept before, Read 50+ reviews on the product page, Ask a friend their size in that brand, Order two sizes, Wait for a sale so a failed return hurts less",Yes,4,5,3,2,4,A shopping list I intend to buy from,"5'5""–5'8""",XS,No — ethnic runs different,Mix of workwear and occasion,Seal tag means I cannot actually try it. So I don’t buy from a photo.
8/12/2026 9:02:33,"Yes, continue",Yes,Woman,24–32,Noida,15–40,Yes,Most days,For an occasion / event coming up,Maybe,I’m not sure when or where I’d wear it,Occasion / office-appropriateness,"A kept-vs-returned story from people my size and height, on the wishlist card, A suggested size that stays with the saved item (not only on the product page)","How this sat on someone near my height, Return policy in words, not an icon",No,"WhatsApp / send photos to friends or family, YouTube haul / try-on","Only buy brands I have kept before, Read 50+ reviews on the product page, Ask a friend their size in that brand, Don’t buy — leave it wishlisted",Yes,3,3,2,5,4,A mix,"5'2""–5'5""",M,No — ethnic runs different,Mix of workwear and occasion,Function is in three weeks. Dupatta length and seal tag — that’s the stall.
8/12/2026 10:06:49,"Yes, continue",Yes,Woman,24–32,Pune,15–40,Yes,Rarely,I meant to buy it soon,Yes,I don’t know if it will fit me / this brand’s cut,"Fit on my body / height, Which size to pick, Whether I can return or exchange it","A kept-vs-returned story from people my size and height, on the wishlist card, A suggested size that stays with the saved item (not only on the product page), A friend telling me to buy it","How this sat on someone near my height, Whether people who wear my usual size kept it, Length / crop / rise for my height",No,"WhatsApp / send photos to friends or family, YouTube haul / try-on, Google size charts or reviews","Only buy brands I have kept before, Read 50+ reviews on the product page",Yes,5,3,2,2,4,A shopping list I intend to buy from,"5'2""–5'5""",M,No — ethnic runs different,Mix of workwear and occasion,"Reviews split on size up. I will not play that with a ₹3,000 dress."
8/12/2026 17:06:23,"Yes, continue",Yes,Woman,24–32,Delhi,15–40,Yes,About weekly,Waiting for a sale or price drop,Yes,I’m waiting for a sale or discount,"Price, Whether I can return or exchange it","A coupon or sale, Return / seal-tag / exchange-only written as a sentence on the card, A kept-vs-returned story from people my size and height, on the wishlist card","How this sat on someone near my height, Return policy in words, not an icon",Yes — I will buy one of them,"WhatsApp / send photos to friends or family, YouTube haul / try-on, Google size charts or reviews","Only buy brands I have kept before, Read 50+ reviews on the product page, Wait for a sale so a failed return hurts less, Don’t buy — leave it wishlisted",Yes,3,4,5,2,4,A shopping list I intend to buy from,"5'5""–5'8""",M,No — ethnic runs different,Mix of workwear and occasion,Discounted plus nasty returns. I saved thinking both. Only one was true.
8/13/2026 1:08:13,"Yes, continue",Yes,Woman,24–32,Hyderabad,15–40,Yes,About weekly,I meant to buy it soon,Yes,"I’m worried about returns, exchange-only, or a seal tag","Whether I can return or exchange it, Whether the next size exists, Fit on my body / height","Return / seal-tag / exchange-only written as a sentence on the card, A kept-vs-returned story from people my size and height, on the wishlist card","Return policy in words, not an icon, Whether Try and Buy exists on this SKU, How this sat on someone near my height",Yes — I will buy one of them,"WhatsApp / send photos to friends or family, YouTube haul / try-on","Only buy brands I have kept before, Read 50+ reviews on the product page, Ask a friend their size in that brand, Wait for a sale so a failed return hurts less",Not sure,4,5,3,2,2,A shopping list I intend to buy from,"Under 5'2""",M,"Yes, same letter",Mostly occasion / ethnic,"Pickup didn’t come, window expired. Now I only heart things."
8/13/2026 1:43:49,"Yes, continue",Yes,Woman,24–32,Delhi,15–40,Yes,About weekly,I just liked it — not sure I’ll buy,No,I was never really going to buy it,Nothing — I was just bookmarking,Nothing — I don’t intend to buy it,I have everything I need,No,Instagram,Don’t buy — leave it wishlisted,Not sure,2,2,2,2,3,A moodboard / Pinterest,"Under 5'2""",S,"Yes, same letter",Mix of workwear and occasion,"Don’t convert my moodboard. Half of this list is pretty, not a cart."
8/13/2026 6:32:09,"Yes, continue",Yes,Woman,24–32,Mumbai,15–40,Yes,Most days,I meant to buy it soon,Yes,"I’m worried about returns, exchange-only, or a seal tag","Whether I can return or exchange it, Whether the next size exists, Fit on my body / height","Return / seal-tag / exchange-only written as a sentence on the card, A kept-vs-returned story from people my size and height, on the wishlist card, A coupon or sale","Return policy in words, not an icon, Whether Try and Buy exists on this SKU, How this sat on someone near my height",Yes — but I may buy none,"WhatsApp / send photos to friends or family, YouTube haul / try-on, Instagram","Only buy brands I have kept before, Read 50+ reviews on the product page, Ask a friend their size in that brand, Wait for a sale so a failed return hurts less, Don’t buy — leave it wishlisted",Yes,4,5,3,2,2,A shopping list I intend to buy from,"5'5""–5'8""",M,"Yes, same letter",Mostly workwear,I have the money. I don’t have another Sunday for a reverse pickup.
8/13/2026 9:24:00,"Yes, continue",Yes,Woman,24–32,Gurugram,15–40,Yes,About weekly,I meant to buy it soon,Yes,I don’t know if it will fit me / this brand’s cut,"Fit on my body / height, Which size to pick","A kept-vs-returned story from people my size and height, on the wishlist card, A suggested size that stays with the saved item (not only on the product page)","How this sat on someone near my height, Whether people who wear my usual size kept it, Length / crop / rise for my height, Ethnic size vs my top size, labelled separately",No,"WhatsApp / send photos to friends or family, YouTube haul / try-on, Visit a store to touch fabric or try a similar cut","Only buy brands I have kept before, Read 50+ reviews on the product page, Don’t buy — leave it wishlisted",Yes,5,3,2,2,2,A shopping list I intend to buy from,"5'2""–5'5""",M,No — ethnic runs different,Mix of workwear and occasion,
8/13/2026 13:49:46,"Yes, continue",Yes,Woman,41+,Coimbatore,41–80,Yes,A few times a month,I meant to buy it soon,Maybe,I’m not sure the fabric / quality matches the photo,Quality vs photo,"A kept-vs-returned story from people my size and height, on the wishlist card, A suggested size that stays with the saved item (not only on the product page)","How this sat on someone near my height, Return policy in words, not an icon",No,"WhatsApp / send photos to friends or family, YouTube haul / try-on","Only buy brands I have kept before, Read 50+ reviews on the product page, Ask a friend their size in that brand, Don’t buy — leave it wishlisted",Yes,3,3,2,2,2,A mix,"Under 5'2""",XS,No — ethnic runs different,Mostly workwear,"Looks cheap vs photo. I want a haul, not another model shot."
8/13/2026 18:28:37,"Yes, continue",Yes,Woman,24–32,Noida,15–40,Yes,Most days,I meant to buy it soon,Yes,I don’t know if it will fit me / this brand’s cut,"Fit on my body / height, Which size to pick","A kept-vs-returned story from people my size and height, on the wishlist card, A suggested size that stays with the saved item (not only on the product page)","How this sat on someone near my height, Whether people who wear my usual size kept it, Length / crop / rise for my height, Ethnic size vs my top size, labelled separately",No,"WhatsApp / send photos to friends or family, YouTube haul / try-on, Instagram","Only buy brands I have kept before, Read 50+ reviews on the product page, Ask a friend their size in that brand",Yes,5,3,2,2,4,A shopping list I intend to buy from,"Above 5'8""",XS,No — ethnic runs different,Mostly occasion / ethnic,I know my Roadster size. I do not know this cut. That’s why it’s still saved.
8/14/2026 10:14:07,"Yes, continue",Yes,Woman,24–32,Bengaluru,15–40,Yes,About weekly,Waiting for a sale or price drop,Yes,I’m waiting for a sale or discount,"Price, Whether I can return or exchange it","A coupon or sale, Return / seal-tag / exchange-only written as a sentence on the card, A kept-vs-returned story from people my size and height, on the wishlist card","How this sat on someone near my height, Return policy in words, not an icon",No,"WhatsApp / send photos to friends or family, YouTube haul / try-on, Instagram","Only buy brands I have kept before, Read 50+ reviews on the product page, Ask a friend their size in that brand, Wait for a sale so a failed return hurts less, Don’t buy — leave it wishlisted",No,3,4,5,2,2,A shopping list I intend to buy from,"5'2""–5'5""",L,No — ethnic runs different,Mix of workwear and occasion,"I’ll pay full price if I’m sure. Sale is how I cope with risk, not greed."
8/14/2026 10:58:50,"Yes, continue",Yes,Woman,24–32,Coimbatore,41–80,Yes,About weekly,I meant to buy it soon,Yes,I don’t know if it will fit me / this brand’s cut,"Fit on my body / height, Which size to pick","A kept-vs-returned story from people my size and height, on the wishlist card, A suggested size that stays with the saved item (not only on the product page), Return / seal-tag / exchange-only written as a sentence on the card","How this sat on someone near my height, Whether people who wear my usual size kept it, Length / crop / rise for my height, Ethnic size vs my top size, labelled separately",Yes — I will buy one of them,"WhatsApp / send photos to friends or family, YouTube haul / try-on, Visit a store to touch fabric or try a similar cut","Only buy brands I have kept before, Read 50+ reviews on the product page, Don’t buy — leave it wishlisted",Yes,5,3,2,2,2,A shopping list I intend to buy from,"5'5""–5'8""",S,No — ethnic runs different,Mostly workwear,
8/14/2026 11:18:58,"Yes, continue",Yes,Woman,24–32,Bengaluru,41–80,Yes,About weekly,I meant to buy it soon,Yes,"I’m worried about returns, exchange-only, or a seal tag","Whether I can return or exchange it, Whether the next size exists, Fit on my body / height","Return / seal-tag / exchange-only written as a sentence on the card, A kept-vs-returned story from people my size and height, on the wishlist card, A coupon or sale","Return policy in words, not an icon, Whether Try and Buy exists on this SKU, How this sat on someone near my height",No,"WhatsApp / send photos to friends or family, YouTube haul / try-on, Instagram, I just wait and never decide","Only buy brands I have kept before, Read 50+ reviews on the product page, Ask a friend their size in that brand, Order two sizes, Wait for a sale so a failed return hurts less, Don’t buy — leave it wishlisted",Yes,4,5,3,2,2,A shopping list I intend to buy from,"Under 5'2""",M,No — ethnic runs different,Mostly workwear,Policy is an icon. Icons are how I got surprised last time.
8/14/2026 12:41:52,"Yes, continue",Yes,Woman,24–32,Noida,15–40,Yes,Most days,To compare with other pieces I saved,Maybe,I can’t choose between a few similar things I saved,"Fit on my body / height, Occasion / office-appropriateness","A side-by-side of the other pieces I saved, on fit — not on discount %, A kept-vs-returned story from people my size and height, on the wishlist card, A suggested size that stays with the saved item (not only on the product page)","How this sat on someone near my height, Return policy in words, not an icon",Yes — I will buy one of them,"WhatsApp / send photos to friends or family, YouTube haul / try-on, Instagram","Only buy brands I have kept before, Read 50+ reviews on the product page, Ask a friend their size in that brand",Yes,3,3,2,2,2,A mix,"5'2""–5'5""",M,No — ethnic runs different,Mostly occasion / ethnic,Three office shirts saved. I will buy one. I cannot pick.
8/14/2026 23:15:25,"Yes, continue",Yes,Woman,24–32,Coimbatore,15–40,Yes,About weekly,I meant to buy it soon,Yes,"I’m worried about returns, exchange-only, or a seal tag","Whether I can return or exchange it, Whether the next size exists, Fit on my body / height","Return / seal-tag / exchange-only written as a sentence on the card, A kept-vs-returned story from people my size and height, on the wishlist card","Return policy in words, not an icon, Whether Try and Buy exists on this SKU, How this sat on someone near my height",Yes — but I may buy none,"WhatsApp / send photos to friends or family, YouTube haul / try-on, Visit a store to touch fabric or try a similar cut, I just wait and never decide","Only buy brands I have kept before, Read 50+ reviews on the product page, Ask a friend their size in that brand, Wait for a sale so a failed return hurts less",Not sure,4,5,3,2,4,A shopping list I intend to buy from,"Above 5'8""",L,I don’t buy ethnic on Myntra,Mix of workwear and occasion,I have the money. I don’t have another Sunday for a reverse pickup.
8/15/2026 0:25:39,"Yes, continue",Yes,Woman,24–32,Bengaluru,15–40,Yes,Most days,I meant to buy it soon,Yes,I don’t know if it will fit me / this brand’s cut,"Fit on my body / height, Which size to pick","A kept-vs-returned story from people my size and height, on the wishlist card, A suggested size that stays with the saved item (not only on the product page)","How this sat on someone near my height, Whether people who wear my usual size kept it, Length / crop / rise for my height",No,"WhatsApp / send photos to friends or family, YouTube haul / try-on","Only buy brands I have kept before, Read 50+ reviews on the product page, Ask a friend their size in that brand",Yes,5,3,2,2,4,A shopping list I intend to buy from,"Under 5'2""",L,"Yes, same letter",Mix of workwear and occasion,If I could see kept vs returned for my size on the card I would check out this week.
8/15/2026 1:01:55,"Yes, continue",Yes,Woman,24–32,Gurugram,15–40,No,Most days,Waiting for a sale or price drop,Maybe,I’m waiting for a sale or discount,"Price, Whether I can return or exchange it","A coupon or sale, A kept-vs-returned story from people my size and height, on the wishlist card, A suggested size that stays with the saved item (not only on the product page)","How this sat on someone near my height, Return policy in words, not an icon",Yes — but I may buy none,"WhatsApp / send photos to friends or family, YouTube haul / try-on, Visit a store to touch fabric or try a similar cut","Only buy brands I have kept before, Read 50+ reviews on the product page, Ask a friend their size in that brand, Wait for a sale so a failed return hurts less, Don’t buy — leave it wishlisted",Not sure,3,4,5,2,2,A mix,"5'2""–5'5""",S,I don’t buy ethnic on Myntra,Mix of workwear and occasion,"I’ll pay full price if I’m sure. Sale is how I cope with risk, not greed."
8/15/2026 1:59:35,"Yes, continue",Yes,Woman,24–32,Coimbatore,15–40,Yes,Most days,To compare with other pieces I saved,Maybe,I can’t choose between a few similar things I saved,"Fit on my body / height, Occasion / office-appropriateness","A side-by-side of the other pieces I saved, on fit — not on discount %, A kept-vs-returned story from people my size and height, on the wishlist card, A suggested size that stays with the saved item (not only on the product page)","How this sat on someone near my height, Return policy in words, not an icon",Yes — I will buy one of them,"WhatsApp / send photos to friends or family, YouTube haul / try-on, Google size charts or reviews","Only buy brands I have kept before, Read 50+ reviews on the product page, Ask a friend their size in that brand, Don’t buy — leave it wishlisted",Yes,3,3,2,2,4,A mix,"5'2""–5'5""",XS,"Yes, same letter",Mix of workwear and occasion,Three office shirts saved. I will buy one. I cannot pick.
8/15/2026 8:58:53,"Yes, continue",Yes,Woman,24–32,Delhi,15–40,Yes,Most days,Waiting for a sale or price drop,Yes,I’m waiting for a sale or discount,"Price, Whether I can return or exchange it","A coupon or sale, Return / seal-tag / exchange-only written as a sentence on the card, A kept-vs-returned story from people my size and height, on the wishlist card","How this sat on someone near my height, Return policy in words, not an icon",Yes — but I may buy none,"WhatsApp / send photos to friends or family, YouTube haul / try-on, Instagram","Only buy brands I have kept before, Read 50+ reviews on the product page, Ask a friend their size in that brand, Wait for a sale so a failed return hurts less, Don’t buy — leave it wishlisted",No,3,4,5,2,4,A shopping list I intend to buy from,"5'2""–5'5""",S,"Yes, same letter",Mostly occasion / ethnic,"Salary week I browse. I still don’t bag if fit is a coin flip, even on sale."
8/15/2026 9:15:41,"Yes, continue",Yes,Woman,24–32,Noida,1–14,Yes,About weekly,To compare with other pieces I saved,Maybe,I can’t choose between a few similar things I saved,"Fit on my body / height, Occasion / office-appropriateness","A side-by-side of the other pieces I saved, on fit — not on discount %, A kept-vs-returned story from people my size and height, on the wishlist card, A suggested size that stays with the saved item (not only on the product page)","How this sat on someone near my height, Return policy in words, not an icon",Yes — I will buy one of them,"WhatsApp / send photos to friends or family, YouTube haul / try-on","Only buy brands I have kept before, Read 50+ reviews on the product page",No,3,3,2,2,4,A mix,"Under 5'2""",M,"Yes, same letter",Mostly workwear,
8/15/2026 11:06:02,"Yes, continue",Yes,Woman,24–32,Gurugram,15–40,Yes,Most days,I meant to buy it soon,Yes,I don’t know if it will fit me / this brand’s cut,"Fit on my body / height, Which size to pick, Whether I can return or exchange it","A kept-vs-returned story from people my size and height, on the wishlist card, A suggested size that stays with the saved item (not only on the product page)","How this sat on someone near my height, Whether people who wear my usual size kept it, Length / crop / rise for my height, Ethnic size vs my top size, labelled separately",No,"WhatsApp / send photos to friends or family, YouTube haul / try-on, Instagram","Only buy brands I have kept before, Read 50+ reviews on the product page, Ask a friend their size in that brand, Order two sizes, Don’t buy — leave it wishlisted",Yes,5,3,2,2,2,A shopping list I intend to buy from,"Under 5'2""",S,I don’t buy ethnic on Myntra,Mix of workwear and occasion,H&M M is not this brand’s M. I will not bag until someone my height kept it.
8/15/2026 13:07:57,"Yes, continue",Yes,Woman,24–32,Hyderabad,41–80,Yes,About weekly,I meant to buy it soon,Yes,I don’t know if it will fit me / this brand’s cut,"Fit on my body / height, Which size to pick, Whether I can return or exchange it","A kept-vs-returned story from people my size and height, on the wishlist card, A suggested size that stays with the saved item (not only on the product page), Return / seal-tag / exchange-only written as a sentence on the card","How this sat on someone near my height, Whether people who wear my usual size kept it, Length / crop / rise for my height",No,"WhatsApp / send photos to friends or family, YouTube haul / try-on","Only buy brands I have kept before, Read 50+ reviews on the product page, Don’t buy — leave it wishlisted",Yes,5,3,2,2,2,A shopping list I intend to buy from,"5'2""–5'5""",XS,No — ethnic runs different,Mix of workwear and occasion,I liked it in ten seconds. Deciding size has taken two weeks.
8/15/2026 15:38:46,"Yes, continue",Yes,Woman,24–32,Gurugram,15–40,Yes,Most days,I meant to buy it soon,Yes,I don’t know if it will fit me / this brand’s cut,"Fit on my body / height, Which size to pick","A kept-vs-returned story from people my size and height, on the wishlist card, A suggested size that stays with the saved item (not only on the product page), A friend telling me to buy it","How this sat on someone near my height, Whether people who wear my usual size kept it, Length / crop / rise for my height",Yes — but I may buy none,"WhatsApp / send photos to friends or family, YouTube haul / try-on, Instagram","Only buy brands I have kept before, Read 50+ reviews on the product page, Don’t buy — leave it wishlisted",Yes,5,3,2,2,2,A shopping list I intend to buy from,"5'5""–5'8""",M,"Yes, same letter",Mix of workwear and occasion,Between M and L. I postpone until I feel sure. I never feel sure.
8/15/2026 17:18:48,"Yes, continue",Yes,Woman,24–32,Bengaluru,41–80,Yes,About weekly,I meant to buy it soon,Yes,"I’m worried about returns, exchange-only, or a seal tag","Whether I can return or exchange it, Whether the next size exists, Fit on my body / height","Return / seal-tag / exchange-only written as a sentence on the card, A kept-vs-returned story from people my size and height, on the wishlist card","Return policy in words, not an icon, Whether Try and Buy exists on this SKU, How this sat on someone near my height",Yes — but I may buy none,"WhatsApp / send photos to friends or family, YouTube haul / try-on, Visit a store to touch fabric or try a similar cut, I just wait and never decide","Only buy brands I have kept before, Read 50+ reviews on the product page, Wait for a sale so a failed return hurts less",Not sure,4,5,3,2,2,A shopping list I intend to buy from,"5'2""–5'5""",M,"Yes, same letter",Mix of workwear and occasion,
